Enumeration value,Description
{9ABE8DF3-0052-42DB-8B18-2089E1D1D1B7},Aggregate Component
{32711D35-7D9D-44E5-B57E-A17D33D5C38C},Audit Component
{A236DD44-4409-433E-A1CE-283DA18F4E0F},Cache Transform Component
{DEC33219-BA68-4FEB-AC98-9C1B1E577A8D},Character Map Component
{3AE878C6-0D6C-4F48-8128-40E00E9C1B7D},Conditional Split Component
{98F16A65-E02F-4B0F-87D4-C217EA074619},Copy Column Component
{BD06A22E-BC69-4AF7-A69B-C44C2EF684BB},Data Conversion Component
{9C58B013-AF30-455F-B809-50F425AFBCAC},Data Mining Query Component
{2932025B-AB99-40F6-B5B8-783A73F80E24},Derived Column Component
{86151302-DCDB-49FB-92FE-772EC02712B6},Export Column Component
{0A1BDBA0-9C6E-4AD7-97B1-E0E79E462629},Fuzzy Grouping Component
{5056651F-F227-4978-94DF-53CDF9E8CCB6},Fuzzy Lookup Component
{C8AEEE54-67A0-41A8-821D-D1C8BED62C68},Import Column Component
{27648839-180F-45E6-838D-AFF53DF682D2},Lookup Component
{D3FC84FA-748F-40B4-A967-F1574F917BE5},Merge Component
{A18A4D58-7C7A-4448-8B98-AE2CEFE81B4C},MergeJoin Component
{1ACA4459-ACE0-496F-814A-8611F9C27E23},Multicast Component
{8E61C8F6-C91D-43B6-97EB-3423C06571CC},OLE DB Command Component
{CEFEB125-5BB5-4F91-A349-94B8961C641B},Percentage Sampling Component
{DD5A6456-8430-422B-9F50-7EF5A1B63CA8},Pivot Component
{150E6007-7C6A-4CC3-8FF3-FC73783A972E},RowCount Component
{A44C46A3-0A3F-454B-B3BD-0BC23D4BCE94},Row Sampling Component
{2E42D45B-F83C-400F-8D77-61DDE6A7DF29},Script Type Component
{70909A92-ECE9-486D-B17E-30EDE908849E},Slowly Changing Dimension Component
{07127A7C-164B-422A-AD1F-24BE39B4DB38},Sort Component
{119D450D-E2A3-4DB0-A7BC-ACDE2536673E},Term Extraction Component
{4CC3A325-9885-48B4-B451-147C2D523646},Term Lookup Component
{4D9F9B7C-84D9-4335-ADB0-2542A7E35422},Union All Component
{8F25687E-2ACA-4EF3-88A3-53099FDAAF43},Unpivot Component
{C9269E28-EBDE-4DED-91EB-0BF42842F9F4},Excel Destination Component
{D658C424-8CF0-441C-B3C4-955E183B7FBA},Flat File Destination Component
{5A0B62E8-D91D-49F5-94A5-7BE58DE508F0},OLE DB Destination Component
{0183D6BA-8792-4602-A6AB-6DF19E7F9979},Data Mining Model Training Destination Component
{7D1B6DD6-C1A9-416E-9E7F-31400E3F7249},Dimension Processing Destination Component
{DCDA2491-C4A4-4C84-9253-119AEF1A4CD7},Partition Processing Destination Component
{485E7329-8754-42B4-AA5B-29C5DA09CAD5},Raw File Destination Component
{167AF7E9-BA81-425F-B73D-E30C2DCC0F09},RecordSet Destination Component
{E4B61516-847B-4BDF-9CC6-1968A2D43E73},SQL Server Destination Component
{A4B1E1C8-17F3-46C8-AAD0-34F0C6FE42DE},Excel Source Component
{5ACD952A-F16A-41D8-A681-713640837664},Flat File Source Component
{BCEFE59B-6819-47F7-A125-63753B33ABB7},OLE DB Source Component
{51DC0B24-7421-45C3-B4AB-9481A683D91D},Raw File Source Component
{5B201335-B360-485C-BB93-75C34E09B3D3},Aggregate Component
{4FCE8297-9C65-40A9-9D60-00C5CC6BC283},Audit Component
{BF818E79-2C1C-410D-ADEA-B2D1A04FED01},Cache Transform Component
{C86C867A-7D40-486A-8734-F0B6943A9DD4},Character Map Component
{7F88F654-4E20-4D14-84F4-AF9C925D3087},Conditional Split Component
{D231ABC4-4754-481B-8F7A-CD4BD8D09832},Copy Column Component
{62B1106C-7DB8-4EC8-ADD6-4C664DFFC54A},Data Conversion Component
{CBDFF0CC-3758-4424-A431-3C2E103069AA},Data Mining Query Component
{49928E82-9C4E-49F0-AABE-3812B82707EC},Derived Column Component
{A9823821-0085-4483-952F-36277F63FFC5},Export Column Component
{836E0D0B-0358-45B4-B888-4ADCE9356D4E},Fuzzy Grouping Component
{E4A5F949-EC93-45AB-8B36-B52936257EC2},Fuzzy Lookup Component
{9053CAE0-140B-48E4-AEEC-4E6A26E9E436},Import Column Component
{671046B0-AA63-4C9F-90E4-C06E0B710CE3},Lookup Component
{36E0E750-2510-4776-AA6E-17EAE84FD63E},Merge Component
{14D43A4F-D7BD-489D-829E-6DE35750CFE4},MergeJoin Component
{EC139FBC-694E-490B-8EA7-35690FB0F445},Multicast Component
{93FFEC66-CBC8-4C7F-9C6A-CB1C17A7567D},OLE DB Command Component
{05322586-D434-4593-8BE4-8CFC766D9C8B},Percentage Sampling Component
{AEB2AFAE-2201-48B1-B290-42BB8C9149DD},Pivot Component
{E2697D8C-70DA-42B2-8208-A19CE3A9FE41},RowCount Component
{284A868A-7C3D-498C-ABBF-028CEF6AB288},Row Sampling Component
{874F7595-FB5F-40FF-96AF-FBFF8250E3EF},Script Type Component
{25BBB0C5-369B-4303-B3DF-D0DC741DEE58},Slowly Changing Dimension Component
{5B1A3FF5-D366-4D75-AD1F-F19A36FCBEDB},Sort Component
{056F53D1-8081-4D07-8134-1D4DAC244BB2},Term Extraction Component
{ACCC729A-823D-49A7-B16D-F1999AEB1D4C},Term Lookup Component
{B594E9A8-4351-4939-891C-CFE1AB93E925},Union All Component
{B8B094A9-8809-4E06-8874-5C55606A9FDF},Unpivot Component
{1F5D5712-2FBA-4CB9-A95A-86C1F336E1DA},Excel Destination Component
{8DA75FED-1B7C-407D-B2AD-2B24209CCCA4},Flat File Destination Component
{4ADA7EAA-136C-4215-8098-D7A7C27FC0D1},OLE DB Destination Component
{3D9FFAE9-B89B-43D9-80C8-B97D2740C746},Data Mining Model Training Destination Component
{2C2F0891-3AAA-4865-A676-D7476FE4CE90},Dimension Processing Destination Component
{DA510FB7-E3A8-4D96-9F59-55E15E67FE3D},Partition Processing Destination Component
{04762BB6-892F-4EE6-AD46-9CEB0A7EC7A2},Raw File Destination Component
{C457FD7E-CE98-4C4B-AEFE-F3AE0044F181},RecordSet Destination Component
{F452EAF3-5EF0-43F1-8067-09DDF0BC6316},SQL Server Destination Component
{8C084929-27D1-479F-9641-ABB7CDADF1AC},Excel Source Component
{D23FD76B-F51D-420F-BBCB-19CBF6AC1AB4},Flat File Source Component
{165A526D-D5DE-47FF-96A6-F8274C19826B},OLE DB Source Component
{480C7D5A-CE63-405C-B338-3C7F26560EE3},Raw File Source Component
